item_id,date,p10,p50,p90
00655l,2022-11-01T00:00:00Z,-5.37495E-5,-2.19784E-5,8.0506E-6
00655l,2022-11-02T00:00:00Z,-5.15617E-5,-2.32587E-5,7.7655E-6
00655l,2022-11-03T00:00:00Z,-5.49914E-5,-2.12243E-5,1.18736E-5
00655l,2022-11-04T00:00:00Z,-4.04017E-5,-1.96962E-5,1.24401E-5
00655l,2022-11-05T00:00:00Z,-5.54837E-5,-1.76397E-5,1.69824E-5
00743,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
00743,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
00743,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
00743,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
00743,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
1447,2022-11-01T00:00:00Z,-4.73417E-5,-1.9074E-5,1.22748E-5
1447,2022-11-02T00:00:00Z,-5.21672E-5,-2.12421E-5,1.34938E-5
1447,2022-11-03T00:00:00Z,-5.02564E-5,-2.06985E-5,3.8694E-6
1447,2022-11-04T00:00:00Z,-4.92964E-5,-1.73134E-5,1.63182E-5
1447,2022-11-05T00:00:00Z,-4.56725E-5,-9.5439E-6,1.80596E-5
1727,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
1727,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
1727,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
1727,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
1727,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
4536,2022-11-01T00:00:00Z,-5.50846E-5,-2.82339E-5,7.3244E-6
4536,2022-11-02T00:00:00Z,-5.48673E-5,-2.27969E-5,1.19616E-5
4536,2022-11-03T00:00:00Z,-5.16174E-5,-2.34184E-5,1.03112E-5
4536,2022-11-04T00:00:00Z,-4.98653E-5,-1.74975E-5,1.41962E-5
4536,2022-11-05T00:00:00Z,-4.73014E-5,-1.55949E-5,1.29391E-5
4938,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
4938,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
4938,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
4938,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
4938,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
6525,2022-11-01T00:00:00Z,-5.02134E-5,-1.91522E-5,1.49563E-5
6525,2022-11-02T00:00:00Z,-4.99762E-5,-2.34286E-5,9.5743E-6
6525,2022-11-03T00:00:00Z,-5.32489E-5,-1.86158E-5,9.0679E-6
6525,2022-11-04T00:00:00Z,-4.29174E-5,-1.35553E-5,1.67439E-5
6525,2022-11-05T00:00:00Z,-3.95112E-5,-1.93084E-5,1.4679E-5
9937,2022-11-01T00:00:00Z,-5.22453E-5,-1.7945E-5,1.04536E-5
9937,2022-11-02T00:00:00Z,-5.01198E-5,-1.90931E-5,9.5974E-6
9937,2022-11-03T00:00:00Z,-5.09557E-5,-2.15577E-5,8.5199E-6
9937,2022-11-04T00:00:00Z,-5.75858E-5,-1.63069E-5,2.00431E-5
9937,2022-11-05T00:00:00Z,-5.42036E-5,-1.3269E-5,1.38521E-5
9945,2022-11-01T00:00:00Z,-4.73417E-5,-1.9074E-5,1.22748E-5
9945,2022-11-02T00:00:00Z,-5.21672E-5,-2.12421E-5,1.34938E-5
9945,2022-11-03T00:00:00Z,-5.02564E-5,-2.06985E-5,3.8694E-6
9945,2022-11-04T00:00:00Z,-4.92964E-5,-1.73134E-5,1.63182E-5
9945,2022-11-05T00:00:00Z,-4.56725E-5,-9.5439E-6,1.80596E-5
